"","Movies","Horror","Thriller","Comedy","Romantic","Sci.fi","War","Fantasy.Fairy.tales","Animated","Documentary","Western","Action","Age","Height","Weight","Number.of.siblings","Gender","Left...right.handed","Education","Only.child","Village...town","House...block.of.flats","cluster"
"1",5,4,2,5,4,4,1,5,5,3,1,2,20,163,48,1,1,2,1,0,1,1,1
"2",5,2,2,4,3,4,1,3,5,4,1,4,19,163,58,2,1,2,1,0,2,1,1
"3",5,3,4,4,2,4,2,5,5,2,2,1,20,176,67,2,1,2,5,0,2,1,1
"4",5,4,4,3,3,4,3,1,2,5,1,2,22,172,59,1,1,2,1,1,2,2,1
"5",5,4,4,5,2,3,3,4,4,3,1,4,20,170,59,1,1,2,5,0,1,2,1
"6",5,5,5,5,2,3,3,4,3,3,2,4,20,186,77,1,0,2,5,0,2,1,2
"7",4,2,1,5,3,1,3,5,5,3,1,2,20,177,50,1,1,2,5,0,1,2,1
"8",5,4,4,5,2,3,3,4,4,3,1,3,19,184,90,1,0,2,1,0,2,2,2
"9",5,2,1,5,5,1,3,4,4,4,1,2,19,174,60,3,1,2,5,0,2,1,1
"10",5,5,4,5,3,3,2,5,5,3,1,3,19,175,60,2,1,1,5,0,2,1,1
"11",5,3,4,4,3,2,5,5,5,5,1,4,17,176,60,1,1,2,5,0,2,1,1
"12",5,1,5,4,3,1,4,5,3,3,1,1,24,168,55,10,1,2,1,0,2,1,1
"13",5,3,2,5,5,2,1,5,4,2,1,3,19,165,55,1,1,2,5,0,2,1,1
"14",4,1,3,5,4,1,1,5,5,3,1,4,22,175,57,1,1,2,1,0,2,1,1
"15",5,5,5,5,3,3,5,4,4,5,2,4,18,177,77,0,0,2,5,1,2,1,2
"16",5,3,3,5,3,2,2,2,2,4,1,2,19,175,65,2,1,2,1,0,2,1,1
"17",5,4,2,5,5,5,2,4,4,5,1,3,20,168,65,1,1,2,5,0,1,2,1
"18",5,2,4,5,4,5,5,4,4,5,5,5,18,181,78,2,0,2,5,0,2,2,2
"19",3,1,4,4,2,3,5,4,4,5,2,5,18,188,90,1,0,1,5,0,2,2,2
"20",5,5,5,5,3,3,4,3,3,3,2,4,20,186,77,1,0,2,5,0,2,1,2
"21",5,5,5,5,2,5,3,3,4,5,2,5,24,186,85,1,0,1,5,0,2,1,2
"22",5,2,4,5,5,4,3,5,5,3,2,2,20,168,54,3,1,2,5,0,2,1,1
