"","df.Movies","df.Horror","df.Thriller","df.Comedy","df.Romantic","df.Sci.fi","df.War","df.Fantasy.Fairy.tales","df.Animated","df.Documentary","df.Western","df.Action","cluster","Pc1","Pc2","kclust","hclust"
"1",-5,-4,-2,-5,-4,-4,-1,-5,-5,-3,-1,-2,1,1.79170512779628,1.46736604051897,"1","1"
"2",-5,-2,-2,-4,-3,-4,-1,-3,-5,-4,-1,-4,1,0.893682555745436,0.0355943756032043,"1","1"
"3",-5,-3,-4,-4,-2,-4,-2,-5,-5,-2,-2,-1,1,0.774508660881495,0.338311678158678,"1","2"
"4",-5,-4,-4,-3,-3,-4,-3,-1,-2,-5,-1,-2,2,-0.747143307634308,-2.55096431499895,"2","3"
"5",-5,-4,-4,-5,-2,-3,-3,-4,-4,-3,-1,-4,3,-0.463847889099643,0.146797465403764,"3","2"
"6",-5,-5,-5,-5,-2,-3,-3,-4,-3,-3,-2,-4,3,-1.37607996626239,-0.193067223669351,"3","2"
"7",-4,-2,-1,-5,-3,-1,-3,-5,-5,-3,-1,-2,1,2.83359338974174,0.321796407749244,"1","1"
"8",-5,-4,-4,-5,-2,-3,-3,-4,-4,-3,-1,-3,2,-0.133112421342661,0.0626705802997367,"2","2"
"9",-5,-2,-1,-5,-5,-1,-3,-4,-4,-4,-1,-2,1,2.68447811986952,0.562142761695394,"1","1"
"10",-5,-5,-4,-5,-3,-3,-2,-5,-5,-3,-1,-3,1,0.374063510798077,1.27272532320723,"1","1"
"11",-5,-3,-4,-4,-3,-2,-5,-5,-5,-5,-1,-4,3,-0.46864252954845,1.03813768862147,"3","2"
"12",-5,-1,-5,-4,-3,-1,-4,-5,-3,-3,-1,-1,1,1.39825668747027,-0.514839736411692,"1","3"
"13",-5,-3,-2,-5,-5,-2,-1,-5,-4,-2,-1,-3,1,2.57121260334617,1.00706395007223,"1","1"
"14",-4,-1,-3,-5,-4,-1,-1,-5,-5,-3,-1,-4,1,2.56189394985568,0.774787108616876,"1","1"
"15",-5,-5,-5,-5,-3,-3,-5,-4,-4,-5,-2,-4,3,-1.99627070387217,0.820066007531357,"3","2"
"16",-5,-3,-3,-5,-3,-2,-2,-2,-2,-4,-1,-2,2,0.991441227338635,-1.63152087981907,"2","3"
"17",-5,-4,-2,-5,-5,-5,-2,-4,-4,-5,-1,-3,1,0.582773223544783,1.30441996284508,"1","2"
"18",-5,-2,-4,-5,-4,-5,-5,-4,-4,-5,-5,-5,3,-2.65745671585081,1.39688177371956,"3","2"
"19",-3,-1,-4,-4,-2,-3,-5,-4,-4,-5,-2,-5,3,-0.912896674119658,-0.904962654746443,"3","2"
"20",-5,-5,-5,-5,-3,-3,-4,-3,-3,-3,-2,-4,3,-1.57917429422892,-0.35937394356923,"3","2"
"21",-5,-5,-5,-5,-2,-5,-3,-3,-4,-5,-2,-5,3,-2.66837204776464,0.345141709980492,"3","2"
"22",-5,-2,-4,-5,-5,-4,-3,-5,-5,-3,-2,-2,1,0.892699769280164,1.82652431726264,"1","1"
"23",-5,-4,-2,-5,-5,-2,-2,-2,-2,-3,-1,-4,2,1.04663540579072,-1.02343924392143,"2","3"
"24",-5,-1,-2,-5,-5,-1,-1,-4,-3,-3,-1,-1,1,3.59286124760224,-0.124611817625045,"1","1"
"25",-5,-3,-2,-5,-4,-2,-5,-5,-5,-5,-2,-1,1,1.09845254657525,1.4830601217254,"1","1"
"26",-5,-2,-4,-3,-4,-5,-3,-2,-4,-5,-2,-5,3,-1.42639367896551,-0.5730115645276,"3","2"
"27",-5,-3,-3,-5,-3,-1,-5,-4,-4,-3,-4,-4,3,-0.651339667390176,0.287423350855215,"3","3"
"28",-5,-3,-2,-5,-5,-2,-4,-5,-5,-4,-2,-2,1,1.44852046577011,1.70802729667014,"1","1"
"29",-5,-2,-5,-4,-3,-4,-4,-3,-3,-4,-3,-5,3,-2.05054358595215,-0.539398495135566,"3","3"
"30",-4,-1,-1,-5,-5,-2,-2,-5,-5,-4,-1,-1,1,3.67465856800417,0.993289765690683,"1","1"
"31",-5,-5,-5,-5,-5,-2,-3,-5,-5,-3,-2,-4,3,-0.146327424865513,1.90033952041371,"3","2"
"32",-4,-3,-4,-4,-3,-1,-3,-5,-4,-5,-2,-3,1,0.612597330658747,-0.0585887512925449,"1","1"
"33",-5,-2,-3,-5,-4,-4,-2,-2,-5,-3,-1,-5,1,0.215191215579379,0.305438492913754,"1","1"
"34",-5,-1,-2,-5,-5,-3,-4,-1,-1,-1,-1,-5,2,0.58713755125292,-2.05171827622534,"2","3"
"35",-5,-3,-5,-4,-4,-4,-4,-5,-5,-3,-1,-5,3,-0.863240925273333,1.39714499244962,"3","2"
"36",-4,-3,-2,-5,-2,-3,-4,-2,-2,-4,-3,-4,2,-0.838667603422274,-2.01645609189592,"2","3"
"37",-5,-1,-4,-5,-5,-3,-3,-5,-5,-5,-2,-5,1,0.08704361994022,2.18469742815227,"1","1"
"38",-4,-5,-5,-5,-5,-3,-4,-5,-5,-4,-2,-3,3,-0.319965778286821,1.61223778614358,"3","2"
"39",-5,-1,-5,-5,-3,-2,-1,-2,-2,-4,-1,-5,2,0.0793012547471374,-1.39309358851936,"2","3"
"40",-3,-1,-5,-5,-1,-5,-5,-1,-1,-5,-5,-5,2,-3.54759482502951,-3.10465631321835,"2","3"
"41",-5,-4,-4,-5,-5,-5,-3,-5,-5,-4,-3,-5,3,-1.28500239667967,2.42017378761375,"3","2"
"42",-5,-1,-1,-5,-4,-3,-2,-5,-5,-3,-1,-4,1,2.08276255846598,1.40887668524959,"1","1"
"43",-5,-3,-4,-5,-4,-3,-1,-5,-4,-4,-1,-3,1,1.09588460048401,1.15527049576843,"1","1"
"44",-5,-5,-5,-5,-3,-5,-1,-3,-2,-1,-1,-5,2,-1.03821343247425,-0.8347942600979,"2","3"
"45",-3,-2,-2,-3,-2,-2,-1,-2,-2,-3,-1,-2,2,2.2054920116731,-3.92967141916008,"2","3"
"46",-5,-3,-4,-5,-3,-3,-3,-5,-3,-1,-1,-4,1,0.353311880943917,0.169324234801717,"1","1"
"47",-5,-1,-5,-5,-4,-2,-4,-4,-4,-4,-1,-5,1,-0.193924083964735,0.764478333218011,"1","1"
"48",-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,3,-3.19456603766763,2.72279515252532,"3","2"
"49",-5,-3,-3,-5,-5,-1,-5,-5,-3,-3,-1,-5,1,0.462936571306693,0.84603695642495,"1","1"
"50",-5,-5,-5,-5,-5,-5,-3,-5,-5,-5,-2,-5,3,-1.66660227700997,2.5737236009172,"3","2"
"51",-5,-2,-4,-3,-3,-2,-3,-4,-4,-3,-2,-3,1,0.460263029952698,-0.680198917638508,"1","1"
"52",-5,-4,-4,-5,-3,-5,-3,-5,-5,-5,-2,-4,3,-1.25124813903926,1.85636067705185,"3","2"
"53",-5,-2,-4,-5,-1,-3,-2,-3,-3,-5,-1,-4,2,-0.480089592859787,-0.878959012030443,"2","3"
"54",-5,-5,-3,-3,-3,-4,-3,-3,-2,-3,-1,-3,2,-0.391803382524788,-1.78560174441449,"2","3"
"55",-5,-1,-4,-4,-4,-4,-5,-3,-2,-4,-3,-4,2,-1.32598621779148,-0.833775571965847,"2","3"
"56",-5,-3,-4,-5,-5,-5,-3,-4,-4,-2,-2,-4,3,-0.311263522684775,1.1030925088054,"3","2"
