"","df.Music","df.Slow.songs.or.fast.songs","df.Dance","df.Folk","df.Country","df.Classical.music","df.Musical","df.Rock","df.Metal.or.Hardrock","df.Punk","df.Hiphop..Rap","df.Reggae..Ska","df.Swing..Jazz","df.Rock.n.roll","df.Alternative","df.Latino","df.Techno..Trance","df.Opera","df.Pop","cluster","Pc1","Pc2","kclust","hclust"
"1",-5,-3,-2,-1,-2,-2,-1,-5,-1,-1,-1,-1,-1,-3,-1,-1,-1,-1,-5,1,2.32082074548745,1.78374414489044,"1","1"
"2",-4,-4,-2,-1,-1,-1,-2,-5,-4,-4,-1,-3,-1,-4,-4,-2,-1,-1,-3,3,0.230878360897071,3.47043197107561,"3","2"
"3",-5,-5,-2,-2,-3,-4,-5,-5,-3,-4,-1,-4,-3,-5,-5,-5,-1,-3,-3,3,-3.39232209853585,0.324397454069584,"3","2"
"4",-5,-3,-2,-1,-1,-1,-1,-2,-1,-4,-2,-2,-1,-2,-5,-1,-2,-1,-2,1,2.22404361965333,3.03702319340123,"1","1"
"5",-5,-3,-4,-3,-2,-4,-3,-3,-1,-2,-5,-3,-2,-1,-2,-4,-2,-2,-5,1,1.37834515145213,-2.20221909000022,"1","3"
"6",-5,-3,-2,-3,-2,-3,-3,-5,-5,-3,-4,-3,-4,-4,-5,-3,-1,-3,-2,3,-2.62948530232611,1.33940216954032,"3","2"
"7",-5,-5,-5,-3,-1,-2,-2,-3,-1,-1,-3,-1,-1,-2,-3,-3,-5,-2,-5,1,2.8756552597616,-1.49157398703663,"1","1"
"8",-5,-3,-3,-2,-1,-2,-2,-5,-1,-2,-3,-2,-2,-3,-1,-2,-3,-2,-4,1,1.60557281551331,0.311722375366892,"1","1"
"9",-5,-3,-2,-5,-2,-2,-5,-5,-2,-3,-2,-4,-4,-4,-4,-5,-1,-2,-3,2,-2.53560252937614,-0.613763062240479,"2","2"
"10",-5,-3,-3,-2,-1,-2,-3,-3,-2,-1,-3,-2,-2,-3,-3,-3,-4,-2,-4,1,1.51928631634912,-0.439888332076472,"1","3"
