"","df.Music","df.Slow.songs.or.fast.songs","df.Dance","df.Folk","df.Country","df.Classical.music","df.Musical","df.Rock","df.Metal.or.Hardrock","df.Punk","df.Hiphop..Rap","df.Reggae..Ska","df.Swing..Jazz","df.Rock.n.roll","df.Alternative","df.Latino","df.Techno..Trance","df.Opera","df.Pop","cluster"
"1",-5,-3,-2,-1,-2,-2,-1,-5,-1,-1,-1,-1,-1,-3,-1,-1,-1,-1,-5,1
"2",-4,-4,-2,-1,-1,-1,-2,-5,-4,-4,-1,-3,-1,-4,-4,-2,-1,-1,-3,3
"3",-5,-5,-2,-2,-3,-4,-5,-5,-3,-4,-1,-4,-3,-5,-5,-5,-1,-3,-3,3
"4",-5,-3,-2,-1,-1,-1,-1,-2,-1,-4,-2,-2,-1,-2,-5,-1,-2,-1,-2,1
"5",-5,-3,-4,-3,-2,-4,-3,-3,-1,-2,-5,-3,-2,-1,-2,-4,-2,-2,-5,1
"6",-5,-3,-2,-3,-2,-3,-3,-5,-5,-3,-4,-3,-4,-4,-5,-3,-1,-3,-2,3
"7",-5,-5,-5,-3,-1,-2,-2,-3,-1,-1,-3,-1,-1,-2,-3,-3,-5,-2,-5,1
"8",-5,-3,-3,-2,-1,-2,-2,-5,-1,-2,-3,-2,-2,-3,-1,-2,-3,-2,-4,1
"9",-5,-3,-2,-5,-2,-2,-5,-5,-2,-3,-2,-4,-4,-4,-4,-5,-1,-2,-3,2
"10",-5,-3,-3,-2,-1,-2,-3,-3,-2,-1,-3,-2,-2,-3,-3,-3,-4,-2,-4,1
"11",-5,-3,-1,-1,-1,-4,-1,-5,-1,-1,-1,-1,-2,-2,-5,-2,-1,-2,-2,3
"12",-5,-3,-1,-2,-1,-4,-3,-5,-4,-2,-3,-1,-1,-4,-3,-2,-1,-2,-3,3
"13",-5,-3,-5,-3,-2,-1,-5,-2,-1,-1,-2,-1,-3,-2,-1,-3,-1,-1,-5,1
"14",-5,-3,-2,-1,-1,-2,-3,-5,-2,-5,-3,-4,-4,-4,-4,-1,-1,-1,-4,3
"15",-1,-3,-2,-2,-3,-4,-3,-5,-5,-5,-2,-4,-2,-3,-3,-2,-1,-2,-3,3
"16",-5,-3,-3,-1,-1,-1,-2,-4,-1,-3,-2,-3,-2,-3,-1,-1,-4,-1,-4,1
"17",-5,-3,-3,-3,-3,-2,-2,-4,-2,-3,-3,-4,-3,-3,-1,-2,-1,-3,-4,1
"18",-5,-3,-5,-4,-3,-4,-5,-4,-4,-3,-4,-4,-4,-4,-4,-4,-4,-3,-5,2
"19",-5,-4,-3,-3,-2,-4,-2,-4,-5,-2,-1,-4,-5,-4,-3,-4,-3,-2,-2,3
"20",-5,-3,-3,-2,-3,-4,-3,-5,-5,-4,-4,-3,-5,-4,-5,-3,-3,-4,-2,3
"21",-5,-5,-1,-1,-3,-2,-2,-5,-5,-4,-1,-2,-1,-4,-3,-2,-1,-2,-2,3
