Creditability,EF1,EF2,EF3,EF4,EF5,EF6,TSC_6EFA
1,-0.642221266,1.493028565,-0.783659264,0.191257172,0.755509488,1.335644068,3
1,-0.666486746,-0.865975302,-0.722273666,1.478355261,-0.972568567,0.658637543,1
1,-1.633175658,1.335201341,0.174067496,-0.634806411,-0.333530092,0.2414332,3
1,-2.44244973,-1.893176953,-1.056122291,1.17295499,-2.183220087,0.398126185,1
1,-2.313227635,-1.844096418,-1.077671271,1.134547084,-1.608855463,-1.920327541,2
1,-2.422879945,-1.693678856,-1.071277777,1.206411595,-3.509141229,0.392233583,1
1,-2.077356305,-1.906698082,-0.794850601,1.344920216,-3.44991007,0.138941303,1
1,-2.775017202,-1.813900632,-0.922254731,0.098282663,-2.559833153,0.712435273,1
1,-0.919062073,1.21623453,0.288692796,1.735185902,0.713169674,-0.016928127,3
1,0.474649494,1.738761756,0.151068923,-0.821491756,-1.726762681,0.237976069,3
1,-0.666486746,-0.865975302,-0.722273666,1.478355261,-0.972568567,0.658637543,1
1,1.271915386,0.521223837,-0.446171739,1.303196821,-1.618023519,0.662314436,3
1,-0.344769933,1.221895897,-0.167109103,0.589412952,-0.614817341,0.460274005,3
1,1.966315241,-0.40063055,-0.186992701,-0.416754454,-1.086576847,1.338518682,1
1,-0.442751683,0.423028836,0.312915878,-0.097582317,-0.538276628,-0.366163086,3
1,-0.635758824,-0.990491727,0.087259998,-0.735816841,-0.861607622,0.345001219,1
1,-1.144842562,-0.849532811,-0.748454905,1.560457566,-1.803313901,0.253380209,1
1,-0.208534485,0.580860705,0.187470626,-0.935293707,-1.779461533,0.945312543,3
1,0.278444091,-1.133180951,-0.065474387,0.546301668,0.501286775,0.851121423,1
1,-0.461352711,-0.677449336,0.370616858,1.599953851,-1.939286061,0.29734522,1
1,-0.642553564,-0.72604569,-0.88928094,2.557510739,-1.606761264,0.312194335,1
1,-1.250134508,-0.606027804,-0.485505379,1.542419811,-2.11580149,-1.862274956,2
0,0.746707388,-0.654129652,-1.530712402,-0.78274269,0.292376212,0.320142555,1
1,-0.679513397,-0.855295192,-0.264775365,0.198917117,0.790717364,1.154173641,1
1,-0.695964206,-0.678937717,0.336716585,1.094448118,-2.23416327,-0.058936224,1
1,-0.053874232,-1.039541191,0.014817093,0.037290981,-0.875756531,0.585612981,1
1,-0.952639316,1.10092257,-0.383351955,-0.627225036,1.366207636,0.563473184,3
1,-1.759398353,-0.906806599,-0.442610046,2.61336423,-0.281971874,-0.241024103,1
1,0.666890533,-0.551359517,1.583764837,-1.178740206,0.071609036,0.307585012,1
1,1.441872027,-1.053792628,0.340223405,0.523746674,0.625924631,0.623363607,1
1,0.576071499,-1.060459084,0.306725888,0.536050264,0.656010888,0.792052463,1
1,0.874857524,-0.802573111,0.325664421,1.506074659,0.558742972,0.599136944,1
1,1.75113018,-0.677701017,0.420170855,1.380112191,0.594878794,1.119379662,1
1,0.364472954,1.248842998,1.289908483,-0.643362901,1.098563722,0.216267816,3
1,-0.725013028,-0.901644537,-0.683503931,-0.575686321,-0.808140946,0.702471855,1
1,-0.432635803,1.040386681,-0.136241981,1.801325238,0.062460573,-0.37815357,3
