Creditability,EF1,EF2,EF3,EF4,EF5,EF6
1,-0.666486746,-0.865975302,-0.722273666,1.478355261,-0.972568567,0.658637543
1,-2.44244973,-1.893176953,-1.056122291,1.17295499,-2.183220087,0.398126185
1,-2.422879945,-1.693678856,-1.071277777,1.206411595,-3.509141229,0.392233583
1,-2.077356305,-1.906698082,-0.794850601,1.344920216,-3.44991007,0.138941303
1,-2.775017202,-1.813900632,-0.922254731,0.098282663,-2.559833153,0.712435273
1,-0.666486746,-0.865975302,-0.722273666,1.478355261,-0.972568567,0.658637543
1,1.966315241,-0.40063055,-0.186992701,-0.416754454,-1.086576847,1.338518682
1,-0.635758824,-0.990491727,0.087259998,-0.735816841,-0.861607622,0.345001219
1,-1.144842562,-0.849532811,-0.748454905,1.560457566,-1.803313901,0.253380209
1,0.278444091,-1.133180951,-0.065474387,0.546301668,0.501286775,0.851121423
1,-0.461352711,-0.677449336,0.370616858,1.599953851,-1.939286061,0.29734522
1,-0.642553564,-0.72604569,-0.88928094,2.557510739,-1.606761264,0.312194335
0,0.746707388,-0.654129652,-1.530712402,-0.78274269,0.292376212,0.320142555
1,-0.679513397,-0.855295192,-0.264775365,0.198917117,0.790717364,1.154173641
1,-0.695964206,-0.678937717,0.336716585,1.094448118,-2.23416327,-0.058936224
1,-0.053874232,-1.039541191,0.014817093,0.037290981,-0.875756531,0.585612981
1,-1.759398353,-0.906806599,-0.442610046,2.61336423,-0.281971874,-0.241024103
1,0.666890533,-0.551359517,1.583764837,-1.178740206,0.071609036,0.307585012
1,1.441872027,-1.053792628,0.340223405,0.523746674,0.625924631,0.623363607
1,0.576071499,-1.060459084,0.306725888,0.536050264,0.656010888,0.792052463
1,0.874857524,-0.802573111,0.325664421,1.506074659,0.558742972,0.599136944
1,1.75113018,-0.677701017,0.420170855,1.380112191,0.594878794,1.119379662
1,-0.725013028,-0.901644537,-0.683503931,-0.575686321,-0.808140946,0.702471855
1,-1.411583876,-0.998795804,0.414235724,1.539844348,0.630898484,0.281282826
1,-0.037550833,-0.61515634,0.498872378,1.356449464,0.083772228,0.476995866
1,0.143408865,-0.526312608,1.625284542,-1.093351068,-0.782794022,0.429685635
1,0.94999296,-0.627858537,0.6903829,0.828969389,0.689740036,0.243112141
1,-0.108228967,-0.888691404,0.897789627,-1.129860149,1.344088091,-0.050201241
1,-0.571486476,-0.567665224,0.239038832,-0.871850139,0.823354779,1.265008583
1,-0.310435523,-0.777482287,-0.612621444,1.181685872,0.511522721,0.829613592
1,-1.804259554,-0.025196911,0.454274182,-0.472274517,0.706735096,0.347615294
1,0.387938963,-0.447810243,-0.129945688,-0.767069844,-1.183762469,1.277985619
1,-1.203583934,-0.493119753,0.142142274,1.235744314,0.166371322,1.095513455
1,-0.429049185,-0.824122501,2.106982169,0.187905172,-0.994709266,0.216751286
1,1.501425033,-0.929536815,2.046209241,-0.862106079,0.308234703,0.187627818
1,-1.383354309,-0.895953402,0.528301711,1.628068536,-0.507849388,0.135623326
1,-1.988894926,-0.807112055,-1.021948479,-1.014447994,-1.225514132,1.036072434
1,0.397837348,-1.009416037,1.880221142,-0.876562896,0.78883806,-0.000746346
1,0.423996243,-0.809984516,1.58866769,-0.941695642,0.233221166,0.381035468
1,-1.209788283,-0.79248266,1.043267416,0.108194473,0.933577123,0.901453723
1,0.465436518,-0.920464273,1.859821609,0.126860584,0.59714516,0.449589028
1,1.227890593,-0.857510056,0.580580625,1.198529356,-0.702735738,0.165908384
1,-1.85565542,-1.005796559,-0.961877828,0.890663844,0.540249939,0.245342747
1,-0.076341855,-0.832336888,0.59789981,-0.525824873,-0.575669482,0.504421951
1,0.247375853,-0.767255682,0.408449849,-0.712440432,0.890561987,0.794979212
1,0.499774415,-0.927056918,0.463656685,1.007955838,1.247513249,0.156836833
1,0.662976002,-0.613036291,0.440557066,1.003773835,-0.040008281,0.387328789
1,0.650708182,-0.957213778,1.844639698,-0.902410974,1.207712206,-0.119670219
1,0.586041151,-1.004037396,1.246435331,-0.682303314,1.171992567,0.119492205
1,-0.014224835,-0.610243316,1.600738041,-1.168457851,1.208354709,-0.856496298
1,0.533953188,-0.956557054,1.771522096,-0.904882354,0.119278182,0.040594663
1,-0.230334054,-0.522193129,0.904831531,-1.304446891,-0.220947588,0.385977264
1,1.096237173,-0.817802179,0.958593236,0.596381033,-0.597259614,0.842139006
1,-0.207377758,-0.943475523,1.568089056,0.184177061,0.933156514,0.538145893
1,0.190274266,0.060744211,-0.661852527,1.42568444,1.025691758,0.502011621
1,0.073093012,-0.789571419,1.759433918,-1.121652067,1.18793033,0.172104635
1,1.00303297,-0.894089981,1.875334898,0.08558354,0.882174282,0.254658656
1,0.595570653,-0.633629757,-0.199208666,0.259414502,-1.098212167,0.36679969
1,0.295893389,-0.742909082,0.81901766,0.226465308,-0.601337734,0.579733488
1,-0.218522701,-0.926183846,1.900301745,0.029720811,1.132286689,0.316316664
1,-0.2735741,-0.696214658,0.315238321,-0.994110395,-1.367900642,0.356465585
1,0.609519038,-0.615623474,0.215104781,1.310597465,0.500205301,0.895694629
1,-0.39570122,-0.625384848,-0.216359484,-0.041310401,0.576745205,1.216661039
1,-1.362289008,-1.14597657,-0.474724346,-0.563000602,0.489450703,0.464743461
1,0.816719042,-1.049099501,0.140553482,0.554055949,-0.447521206,0.429742219
1,0.236883056,-0.370172924,0.761734916,1.016076772,-0.789595408,-0.436897219
1,-0.948868316,-0.656514883,-0.857788591,-0.932221323,-0.207424876,1.233432907
1,0.103506754,-0.769871969,1.327630337,0.103615349,0.243694595,0.843921207
1,-0.270650814,-0.594131876,0.377781074,-0.637706783,-0.720388277,0.984016983
1,0.428590191,-0.002929556,0.740466939,0.28543377,0.502953576,0.689558954
1,1.003689268,-0.729251159,1.026005768,-1.027258889,-0.831396471,0.146685444
1,-0.482103313,-0.954979874,-0.300809623,-0.575652308,-0.84110654,0.555560001
1,-0.410715171,-0.842108047,-0.25701872,0.178278595,0.933231924,1.056708455
1,-0.64505387,-0.870911349,1.093183385,1.211495979,1.528134023,0.153376096
1,0.917704968,-0.823608449,1.161616563,-0.869445576,0.940854077,0.34482622
1,1.018090922,-0.623024472,0.443265966,1.526965112,-0.947755036,0.738757764
1,-0.698245193,-0.992473965,1.285265862,-0.724994688,1.353343037,-0.965758932
1,1.152983829,0.436759634,0.056445269,2.580720205,-0.523814823,0.343735121
1,0.049378159,-0.527835156,1.117223672,-0.873533734,-1.206617243,0.493770292
1,0.070274071,-0.958585775,1.044901911,0.477370269,0.012947558,0.730720084
1,-0.299479997,-0.653666598,0.013337443,-0.648093901,-0.73259783,0.945620756
1,-0.315776405,-0.890825103,0.499999668,-0.504896025,-0.330080462,0.776964904
1,-0.970971565,-0.898538065,0.199958663,-0.523908401,-0.557792777,0.63471458
1,-1.241914281,-1.164283318,0.859214316,-0.872119485,1.311786921,0.077458903
1,0.715478918,-0.433434065,0.974881406,0.849339539,-0.197112177,0.445910702
1,-0.945640496,-0.941932844,2.011056965,-0.733125677,-1.245658118,-0.463763655
1,0.469868091,-0.314958241,0.299468567,0.113957513,-0.796360633,1.765811204
1,0.621509722,-0.987624472,1.955678729,-0.893914584,0.907694896,0.429146424
1,-1.447065684,-0.187435683,0.937617607,-0.766530355,0.119658945,-0.768556719
1,-0.395886149,-0.909284747,0.709137056,-0.500030744,-0.073380832,0.338413535
1,-0.575890646,-1.066063547,-0.357602612,1.545959387,0.671482351,0.116590847
1,1.676361653,-0.40634725,1.525966517,0.990705165,-0.778459904,0.205269442
1,-0.429207795,-0.580320782,-0.012844215,1.335097136,-0.233368488,0.897964317
