Creditability,EF1,EF2,EF3,EF4,EF5,EF6
1,-2.313227635,-1.844096418,-1.077671271,1.134547084,-1.608855463,-1.920327541
1,-1.250134508,-0.606027804,-0.485505379,1.542419811,-2.11580149,-1.862274956
1,-1.762868417,1.085255445,-0.991127139,3.784213915,0.764856511,-0.60715636
1,0.070534473,1.156728663,-0.05891851,1.997293223,-1.431181682,-2.367937966
1,1.0868897,-0.496407485,0.668218482,0.353294274,0.031481062,-1.531383456
1,-1.143747494,0.878565735,0.030268402,-0.169231545,0.28452282,-2.478685637
1,0.412133761,-0.793414698,-0.232356758,-1.189625791,-0.714382704,-2.027070633
1,0.723484904,-1.07433132,0.83013091,-0.922658582,0.899714651,-2.60468369
1,-0.439298791,1.546873209,0.625762244,-0.465751305,-0.510262613,-1.714079415
1,0.415903498,-0.810212663,0.050315589,0.507028536,-0.67490972,-2.3895847
1,-0.498417925,1.375027861,-0.58832666,-0.70208256,0.681736405,-1.522034978
1,0.299378842,1.730758217,0.529592763,1.518872361,-0.662322019,-1.586774449
1,0.13602929,-0.62851989,0.493210212,-0.641985628,0.183664178,-1.571668829
1,1.186810143,-0.188410522,-0.191212307,-0.157722153,-1.610740671,-2.495186203
1,1.032208153,1.519401231,0.797166007,-0.448801535,-1.018068583,-1.716418741
1,1.328192679,-0.695195017,1.239447661,-0.836690656,0.883431247,-1.514316469
1,0.629952016,-0.547208271,1.331795053,-0.341502112,-1.035572781,-2.267261294
1,-0.641326454,-0.947787296,1.339839965,-1.43027108,0.692156975,-2.828154761
1,0.414265889,-0.791521156,0.136633672,-0.482298247,-1.40746222,-1.358829521
1,0.422215763,-0.832626816,-0.612680875,-1.172872012,0.31783547,-1.652528339
1,0.160022686,-0.869624854,1.209743807,1.182039894,0.332498074,-1.439222571
1,-0.797000346,0.995303786,1.783145488,-0.421325886,0.716965884,-2.775736311
0,-1.16151599,0.449199268,-1.128916782,-0.718499803,-0.043032412,-2.179380769
1,-0.704714435,-1.242518703,-0.472761992,-0.382537487,0.139360291,-2.166390866
1,-0.187627959,-0.536241003,1.035100982,1.072537603,1.373417728,-1.404426078
1,-1.221349863,-0.961383907,1.366963904,-1.059909908,-0.386686482,-2.743340154
1,-0.602698527,-0.382459858,0.020127201,0.391472972,-1.505120602,-1.85208195
1,-0.653899836,-0.848886782,0.800285017,-1.206668186,0.740666872,-2.269441282
1,0.64446415,0.982384961,1.111118779,-0.203212306,1.194798756,-1.925609194
1,-1.05306992,1.535274994,0.241933227,-0.004962826,-0.35508262,-1.507208294
1,0.495742086,1.354568787,0.282948426,-0.838797085,0.252809092,-2.006545053
1,-0.727952588,0.432876972,0.20424787,0.911655953,0.309387949,-1.380980329
1,-0.468293756,0.305238565,0.244871871,0.957658395,-0.70716169,-2.275090245
1,0.907915755,1.50695773,0.764166944,-0.216994502,-1.781475983,-1.762379352
1,-1.473352789,-0.3248394,-0.343728588,-0.888345566,1.197169498,-2.709899525
1,0.796431674,-0.572634571,-0.028211455,-0.810251227,0.013304337,-1.183411756
1,-1.632447094,-0.913850428,-0.527382467,-0.436237621,-1.550481088,-2.141153499
1,-1.647221042,-0.500707391,1.58824026,-1.538660223,-1.150618027,-1.256325202
1,-1.704908679,1.443890903,1.460162722,1.474926328,-0.478742864,-2.603195293
1,-0.158712384,-0.875618761,1.912847204,-0.973208037,1.605329863,-2.546760874
1,0.062915951,-0.927613821,0.565735232,-0.993894956,0.855542851,-1.974223272
1,-1.503665217,-1.608934368,0.458209923,-2.177384901,-0.7044807,-1.934685121
1,-0.45655001,0.54627279,-0.631923826,-1.243060488,-3.247570537,-1.853432737
1,1.694851768,0.228923604,1.885356797,1.258407078,0.685914132,-2.066589904
1,-0.539760048,-0.862319062,1.154960499,-0.578586257,0.451758325,-2.338459569
