Creditability,EF1,EF2,EF3,EF4,EF5,EF6
1,-0.642221266,1.493028565,-0.783659264,0.191257172,0.755509488,1.335644068
1,-1.633175658,1.335201341,0.174067496,-0.634806411,-0.333530092,0.2414332
1,-0.919062073,1.21623453,0.288692796,1.735185902,0.713169674,-0.016928127
1,0.474649494,1.738761756,0.151068923,-0.821491756,-1.726762681,0.237976069
1,1.271915386,0.521223837,-0.446171739,1.303196821,-1.618023519,0.662314436
1,-0.344769933,1.221895897,-0.167109103,0.589412952,-0.614817341,0.460274005
1,-0.442751683,0.423028836,0.312915878,-0.097582317,-0.538276628,-0.366163086
1,-0.208534485,0.580860705,0.187470626,-0.935293707,-1.779461533,0.945312543
1,-0.952639316,1.10092257,-0.383351955,-0.627225036,1.366207636,0.563473184
1,0.364472954,1.248842998,1.289908483,-0.643362901,1.098563722,0.216267816
1,-0.432635803,1.040386681,-0.136241981,1.801325238,0.062460573,-0.37815357
1,1.11614129,1.08571769,0.846708253,1.788273325,1.218325529,0.447465827
1,-0.980336604,1.627982562,1.558080256,0.923656379,1.069346438,0.512043002
1,-0.855027094,0.659149605,-0.235219324,-0.14866846,0.764281639,-0.238363065
1,-0.899930162,1.237784472,0.478923187,1.676294606,0.966565024,0.532236548
0,-0.240042674,1.484460284,-1.657618415,-0.798484307,1.181754474,0.611381946
0,-0.334953293,1.508821565,-0.208908725,1.413419037,0.84532388,0.461527791
1,-0.288419576,0.355012936,0.538732134,-0.770298185,0.308872611,1.037376257
1,1.37195926,1.423788792,0.542216273,-0.562445686,0.777268122,0.996167951
1,-0.821792556,1.615596666,0.846321357,1.482461342,-0.639720074,0.393258584
1,-0.301783045,1.501511595,-0.080511418,-0.58570187,-0.876651978,0.591690288
1,0.268328653,1.175249795,0.711107113,0.652711531,0.962541733,0.641943981
1,0.744113279,1.382116617,0.339899167,1.15951894,-0.148374896,0.747823597
1,-1.671389883,1.029895251,0.411292943,1.428077753,0.378699556,-0.491502831
1,0.337762391,1.19692018,0.948232834,0.747254831,0.949954419,-0.360830457
1,1.095789928,1.388640234,1.25922992,-0.860228967,-0.292874985,-0.052748598
1,1.216099865,1.268016418,-0.278475274,-0.25283974,-1.010878934,-0.191689766
1,-0.979525309,1.50328239,-0.14854374,0.481559899,-1.748590421,0.828521951
0,1.236282486,0.468246435,-1.224966942,1.023337149,-0.958080162,-0.340756436
1,-1.150152795,1.278562526,-0.750362994,-0.675006094,0.691733905,0.515362228
1,0.92672611,1.084311398,0.092788306,0.343000284,-1.006915087,0.400179399
1,0.268102033,0.336004071,0.30225689,1.40207821,0.875147147,0.7569672
1,-0.344593972,1.440004984,0.469562008,1.471800655,0.854283371,1.187463334
1,-0.665853192,0.157458137,0.457930303,-0.468182863,-0.142311886,0.778004373
1,0.172817486,1.232731153,0.583038352,-0.347905756,0.717029072,-0.713285624
1,-0.218230873,1.133626781,2.087445041,0.219735999,1.29866587,0.014286573
0,0.123403619,1.18036606,-1.307238636,-0.449305902,0.124101952,0.247393003
1,-1.199207757,1.253394066,0.579692843,-0.513247032,0.983268659,0.754320333
1,0.74458033,1.452045069,1.591839409,-0.690986671,-0.524612979,0.117035519
