Creditability,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,TSC_6EFA
1,-0.493585222,1.539324212,0.136937501,-1.348593045,0.998093001,1.051415131,3
1,-1.596156887,1.349519894,-0.647614642,-0.063670897,-0.271471831,0.188837684,3
1,-0.891240963,1.221977476,1.745678536,0.066275703,0.771750237,-0.093858258,3
1,0.54577563,1.77624045,-0.851908565,-0.18328357,-1.613787683,0.14680773,3
1,1.37778337,0.565450926,1.241272506,-0.853541107,-1.481556128,0.517064819,3
1,-0.261303921,1.255007986,0.580971358,-0.602337043,-0.457892602,0.286795501,3
1,-0.417039265,0.433265292,-0.149722303,0.265990654,-0.558555228,-0.330383683,3
1,-0.175435921,0.606486577,-0.935030489,-0.125412691,-1.705981823,0.902069938,3
1,-0.827526711,1.136028491,-0.670543597,-0.821334467,1.566942519,0.326636826,3
1,0.340580085,1.242761584,-0.607887154,1.226531024,1.095345439,0.25949259,3
1,-0.352650912,1.065746042,1.784957973,-0.476945648,0.188491172,-0.542552722,3
1,1.126662209,1.088754748,1.825604813,0.629523416,1.279740285,0.389909613,3
1,-1.086304939,1.591156849,0.977182652,1.70085409,0.925265301,0.714300076,3
1,-0.754552034,0.68511814,-0.217401778,-0.495891841,0.876105479,-0.375571812,3
1,-0.895548275,1.235723945,1.703632877,0.274639734,1.005160729,0.489551733,3
0,-0.223404404,1.478776953,-0.850838318,-1.381030881,1.188941384,0.561734265,3
0,-0.503866268,1.443729093,1.449337973,0.497901292,0.58286085,0.745471621,3
1,-0.274047217,0.364352623,-0.747663194,0.297423068,0.36904697,0.99936619,3
1,-1.643812501,1.10877213,3.686174767,-1.266646863,0.864096445,-0.785717112,3
1,1.442033714,1.454350847,-0.529971094,0.100024205,0.964407038,0.813677943,3
1,-0.863355208,1.60940222,1.544026639,0.683109294,-0.649654802,0.429386284,3
1,-0.213462315,1.540678158,-0.584051257,-0.562740873,-0.692179939,0.401732794,3
1,0.285014242,1.181606378,0.686722667,0.459754523,1.037984454,0.575390615,3
1,0.785768934,1.399976224,1.151458666,0.060291957,-0.06977641,0.681330271,3
1,-1.678411589,1.020797393,1.39591416,0.433658672,0.314547382,-0.424641523,3
1,0.328961086,1.191325888,0.729942023,0.983383917,0.90350502,-0.293443745,3
1,1.074144878,1.389330251,-0.866366527,1.272694937,-0.33934271,0.055211092,3
1,1.352498833,1.321775485,-0.312537718,-0.723763266,-0.812534983,-0.407000063,3
1,-0.92784901,1.530124541,0.472647823,-0.535536646,-1.647000061,0.736993192,3
0,1.200904564,0.454753957,1.002052094,-0.853117033,-1.03325231,-0.285653308,3
1,-0.998621897,1.323548278,-0.752021527,-1.221604627,0.90666635,0.260022948,3
1,1.002719201,1.118530283,0.321106076,-0.273552512,-0.879382897,0.27776111,3
1,0.304283642,0.346342613,1.412278406,0.031343787,0.954763311,0.668932043,3
1,-0.330370685,1.445626184,1.518911466,0.146129582,0.943953887,1.097435236,3
1,0.238960703,1.255026612,-0.325335458,0.250090832,0.867839739,-0.874323737,3
1,-0.346362853,1.092012063,0.304254154,2.286744826,1.14074345,0.241233931,3
0,0.096660966,1.165656499,-0.485989114,-0.924422779,0.059233415,0.292750258,3
1,-1.184299078,1.258571582,-0.471648309,0.304836937,1.067828616,0.678222624,3
1,0.681127775,1.443327284,-0.636629345,1.584868106,-0.58235899,0.245043482,3
1,2.105392044,1.360604263,-0.565200432,-0.76473025,0.66632979,0.662507364,3
1,-0.529403072,1.122347186,0.6936378,0.457049023,0.7841462,0.268607356,3
1,1.209545668,0.460741213,2.578816695,-0.276351112,-0.42482607,0.226882185,3
1,-0.792410332,1.649139479,-1.1077946,1.522191321,0.654569197,0.865540644,3
1,0.181875734,0.383212257,-0.53689692,0.232771148,-0.106271112,1.008056974,3
1,-0.5304463,1.415715777,-0.435897292,0.1777038,-0.031257708,0.77464491,3
1,-0.682481252,1.181598871,-0.230247908,0.595163091,0.296421627,0.055983767,3
1,-1.398939304,1.202275477,1.414363389,1.372644944,-0.749524578,-0.611232887,3
1,-0.113178876,0.994368746,-0.370527089,2.496341153,-0.854238516,-0.38178719,3
1,0.962141995,0.92678059,-0.494669532,1.68422678,-0.471672607,-0.472782157,3
1,1.056310897,1.588039827,-1.00969178,1.652220603,0.435584968,0.582905574,3
1,-1.20757942,1.143022344,-0.05600805,1.102925855,0.433074871,-0.37730004,3
0,1.538636657,0.768186735,-0.676797208,-0.087027988,0.965298932,-0.453274931,3
1,-0.876465446,1.441687172,1.490643035,0.099219051,1.127235968,0.645700423,3
1,-0.61591432,0.316977751,1.303758937,0.953387705,-0.378960175,0.352473293,3
1,0.454574096,1.495611721,-0.426897394,0.37803069,-0.544638218,0.681784289,3
1,-0.516551296,1.560681852,-0.753600852,-0.518804536,0.976885147,0.865267636,3
1,1.403143939,1.580389821,1.472056987,0.038015535,0.32504433,0.793027847,3
1,-0.259452294,1.594054661,1.654174551,0.282572275,-0.7717549,0.39514426,3
0,-1.595561998,1.28575054,-0.744553247,-1.188155493,0.784530335,0.374062725,3
1,-1.173992787,0.436802161,-0.805924221,-0.446277559,0.330748311,1.027387231,3
1,-1.110505793,1.725697252,-0.551257325,0.123396381,-0.914606828,0.908478855,3
1,-0.554804382,1.565076661,1.446446504,-0.099563279,0.924017011,0.765785114,3
1,0.993575503,1.397467169,0.549153236,0.258439161,0.613419634,0.887607714,3
1,-0.276486982,1.313244376,0.640423578,0.313846168,0.588929369,0.015978082,3
1,0.95657481,0.345277889,-0.972519885,0.913336891,-0.70952371,0.229402604,3
1,1.408730661,1.524735197,-0.844027792,1.168928371,-1.401922459,0.147927759,3
1,0.326765309,1.478020956,1.490009476,0.066443248,1.093030251,0.444827029,3
1,0.396758038,1.452648751,-0.690285784,0.415858615,-1.433844116,-0.792685199,3
1,-0.213716019,0.46305652,-1.100986941,0.559265849,-3.689492579,0.26870847,3
