Driver Name ,Salary,Team,Driver Status,Age,Number of World Championships,Number of Pole Positions,Number of Race Wins,Number of Podiums,Number of DNF,Number of DSQ,Number of DNS,WD,Average Grid Position,Average Finish Position,Lead Lap Finish,Points,Number of Fastest Laps,Rookie Status,Pay Driver?
Sebastian Vettel,60000000,Ferrari,0,31,4,5,5,12,1,0,0,0,2.9,3.9,20,320,3,0,0
Lewis Hamiton ,50000000,Mercedes,0,33,4,11,11,17,1,0,0,0,2.7,2.6,20,408,3,0,0
Kimi Räikkönen,40000000,Ferrari,1,38,1,1,1,12,4,0,0,0,3.8,6,17,251,1,0,0
Fernando Alonso,30000000,McLaren F1 Team,0,37,2,0,0,0,8,0,0,0,13.2,12.8,5,50,0,0,0
Valtteri Bottas,12000000,Mercedes,1,29,0,2,0,8,2,0,0,0,4,5.1,18,247,7,0,0
Max Verstappen,10000000,Red Bull Racing,0,20,0,2,2,11,4,0,0,0,7.1,6.1,17,249,2,0,0
Stoffel Vandoorne,7000000,McLaren F1 Team,1,26,0,0,0,0,3,0,0,0,15.8,12.9,5,12,0,0,0
Daniel Ricciardo,6000000,Red Bull Racing,1,29,0,1,2,2,8,0,0,0,8.2,9.3,13,170,4,0,0
Nico Hülkenberg,5500000,Renault F1 Team,0,31,0,0,0,0,7,0,0,0,11.2,11.9,8,69,0,0,0
Sergio Pérez,5000000,Force India,0,28,0,0,0,1,2,0,0,0,11.1,10.6,11,62,0,0,1
Romain Grosjean,4450000,Haas,0,32,0,0,0,0,6,1,0,0,10.1,12.7,6,37,0,0,0
Esteban Ocon,3000000,Force India,1,21,0,0,0,0,6,1,0,0,10.1,11.6,9,49,0,0,0
Kevin Magnussen,2500000,Haas,0,25,0,0,0,0,3,1,0,0,10.3,11.2,3,56,1,0,0
Lance Stroll,1800000,Williams,0,19,0,0,0,0,3,0,0,0,16.5,14.2,4,6,0,0,1
Sergey Sirotkin,1000000,Williams,0,23,0,0,0,0,3,0,0,0,16.1,15.5,2,1,0,1,1
Carlos Sainz Jr,750000,Renault F1 Team,1,23,0,0,0,0,2,0,0,0,10.2,10.3,9,53,0,0,0
Marcus Ericsson ,500000,Sauber,0,27,0,0,0,0,4,0,0,0,15.1,13.2,4,9,0,0,1
Pierre Gasly,400000,Toro Rosso,0,22,0,0,0,0,5,0,0,0,13.8,12.9,7,29,0,0,0
Brendon Hartley,350000,Toro Rosso,1,28,0,0,0,0,7,0,0,0,15.5,15,2,4,0,0,1
Charles Leclerc,150000,Sauber,1,20,0,0,0,0,6,0,0,0,12.3,12.5,7,39,0,1,0
