constructorResultsId,raceId,constructorId,points,status,year
14596,880,208,26.0,\N,2013
14597,880,6,30.0,\N,2013
14598,880,9,23.0,\N,2013
14599,880,131,10.0,\N,2013
14600,880,10,10.0,\N,2013
14601,880,1,2.0,\N,2013
14602,880,5,0.0,\N,2013
14603,880,15,0.0,\N,2013
14604,880,3,0.0,\N,2013
14605,880,206,0.0,\N,2013
14606,880,207,0.0,\N,2013
14607,881,9,43.0,\N,2013
14608,881,131,27.0,\N,2013
14609,881,6,10.0,\N,2013
14610,881,208,14.0,\N,2013
14611,881,15,4.0,\N,2013
14612,881,1,2.0,\N,2013
14613,881,5,1.0,\N,2013
14614,881,3,0.0,\N,2013
14615,881,206,0.0,\N,2013
14616,881,207,0.0,\N,2013
14617,881,10,0.0,\N,2013
14618,882,6,33.0,\N,2013
14619,882,208,20.0,\N,2013
14620,882,131,15.0,\N,2013
14621,882,9,12.0,\N,2013
14622,882,1,10.0,\N,2013
14623,882,5,6.0,\N,2013
14624,882,10,4.0,\N,2013
14625,882,15,1.0,\N,2013
14626,882,3,0.0,\N,2013
14627,882,206,0.0,\N,2013
14628,882,207,0.0,\N,2013
14629,883,9,31.0,\N,2013
14630,883,208,33.0,\N,2013
14631,883,10,12.0,\N,2013
14632,883,131,12.0,\N,2013
14633,883,1,9.0,\N,2013
14634,883,6,4.0,\N,2013
14635,883,3,0.0,\N,2013
14636,883,15,0.0,\N,2013
14637,883,5,0.0,\N,2013
14638,883,207,0.0,\N,2013
14639,883,206,0.0,\N,2013
14640,884,6,40.0,\N,2013
14641,884,208,18.0,\N,2013
14642,884,9,22.0,\N,2013
14643,884,131,8.0,\N,2013
14644,884,10,6.0,\N,2013
14645,884,1,6.0,\N,2013
14646,884,5,1.0,\N,2013
14647,884,15,0.0,\N,2013
14648,884,3,0.0,\N,2013
14649,884,207,0.0,\N,2013
14650,884,206,0.0,\N,2013
14651,885,131,37.0,\N,2013
14652,885,9,33.0,\N,2013
14653,885,10,12.0,\N,2013
14654,885,1,8.0,\N,2013
14655,885,6,6.0,\N,2013
14656,885,5,4.0,\N,2013
14657,885,208,1.0,\N,2013
