constructorStandingsId,raceId,constructorId,points,position,positionText,wins,year
25135,880,208,26.0,2,2,1,2013
25136,880,6,30.0,1,1,0,2013
25137,880,9,23.0,3,3,0,2013
25138,880,131,10.0,4,4,0,2013
25139,880,10,10.0,5,5,0,2013
25140,880,1,2.0,6,6,0,2013
25141,880,5,0.0,7,7,0,2013
25142,880,15,0.0,8,8,0,2013
25143,880,3,0.0,9,9,0,2013
25144,880,206,0.0,10,10,0,2013
25145,880,207,0.0,11,11,0,2013
25146,881,208,40.0,2,2,1,2013
25147,881,6,40.0,3,3,0,2013
25148,881,9,66.0,1,1,1,2013
25149,881,131,37.0,4,4,0,2013
25150,881,10,10.0,5,5,0,2013
25151,881,1,4.0,7,7,0,2013
25152,881,5,1.0,8,8,0,2013
25153,881,15,4.0,6,6,0,2013
25154,881,3,0.0,9,9,0,2013
25155,881,206,0.0,10,10,0,2013
25156,881,207,0.0,11,11,0,2013
25157,882,208,60.0,3,3,1,2013
25158,882,6,73.0,2,2,1,2013
25159,882,9,78.0,1,1,1,2013
25160,882,131,52.0,4,4,0,2013
25161,882,10,14.0,6,6,0,2013
25162,882,1,14.0,5,5,0,2013
25163,882,5,7.0,7,7,0,2013
25164,882,15,5.0,8,8,0,2013
25165,882,3,0.0,9,9,0,2013
25166,882,206,0.0,10,10,0,2013
25167,882,207,0.0,11,11,0,2013
25168,883,208,93.0,2,2,1,2013
25169,883,6,77.0,3,3,1,2013
25170,883,9,109.0,1,1,2,2013
25171,883,131,64.0,4,4,0,2013
25172,883,10,26.0,5,5,0,2013
25173,883,1,23.0,6,6,0,2013
25174,883,5,7.0,7,7,0,2013
25175,883,15,5.0,8,8,0,2013
25176,883,3,0.0,9,9,0,2013
25177,883,206,0.0,10,10,0,2013
25178,883,207,0.0,11,11,0,2013
25179,884,208,111.0,3,3,1,2013
25180,884,6,117.0,2,2,2,2013
25181,884,9,131.0,1,1,2,2013
25182,884,131,72.0,4,4,0,2013
25183,884,10,32.0,5,5,0,2013
25184,884,1,29.0,6,6,0,2013
25185,884,5,8.0,7,7,0,2013
25186,884,15,5.0,8,8,0,2013
25187,884,3,0.0,9,9,0,2013
25188,884,206,0.0,10,10,0,2013
25189,884,207,0.0,11,11,0,2013
25190,885,208,112.0,3,3,1,2013
25191,885,6,123.0,2,2,2,2013
25192,885,9,164.0,1,1,2,2013
25193,885,131,109.0,4,4,1,2013
25194,885,10,44.0,5,5,0,2013
25195,885,1,37.0,6,6,0,2013
25196,885,5,12.0,7,7,0,2013
25197,885,15,5.0,8,8,0,2013
25198,885,3,0.0,9,9,0,2013
25199,885,206,0.0,10,10,0,2013
25200,885,207,0.0,11,11,0,2013
25201,886,208,114.0,4,4,1,2013
25202,886,6,145.0,2,2,2,2013
25203,886,9,201.0,1,1,3,2013
25204,886,131,134.0,3,3,1,2013
25205,886,10,51.0,5,5,0,2013
25206,886,1,37.0,6,6,0,2013
25207,886,5,20.0,7,7,0,2013
25208,886,15,5.0,8,8,0,2013
25209,886,3,0.0,9,9,0,2013
25210,886,206,0.0,10,10,0,2013
25211,886,207,0.0,11,11,0,2013
25212,887,208,124.0,4,4,1,2013
25213,887,6,168.0,3,3,2,2013
25214,887,9,219.0,1,1,3,2013
25215,887,131,171.0,2,2,2,2013
25216,887,10,59.0,5,5,0,2013
25217,887,1,37.0,6,6,0,2013
25218,887,5,24.0,7,7,0,2013
25219,887,15,6.0,8,8,0,2013
25220,887,3,0.0,9,9,0,2013
25221,887,206,0.0,10,10,0,2013
25222,887,207,0.0,11,11,0,2013
25223,888,208,157.0,4,4,1,2013
25224,888,6,180.0,3,3,2,2013
25225,888,9,250.0,1,1,4,2013
25226,888,131,183.0,2,2,2,2013
25227,888,10,59.0,5,5,0,2013
25228,888,1,49.0,6,6,0,2013
25229,888,5,24.0,7,7,0,2013
25230,888,15,7.0,8,8,0,2013
25231,888,3,0.0,9,9,0,2013
25232,888,206,0.0,10,10,0,2013
25233,888,207,0.0,11,11,0,2013
25234,890,208,183.0,4,4,1,2013
25235,890,6,194.0,3,3,2,2013
25236,890,9,277.0,1,1,4,2013
25237,890,131,208.0,2,2,3,2013
25238,890,10,59.0,5,5,0,2013
25239,890,1,57.0,6,6,0,2013
25240,890,5,24.0,7,7,0,2013
25241,890,15,7.0,8,8,0,2013
25242,890,3,1.0,9,9,0,2013
25243,890,206,0.0,10,10,0,2013
25244,890,207,0.0,11,11,0,2013
25245,891,208,187.0,4,4,1,2013
25246,891,6,218.0,3,3,2,2013
25247,891,9,312.0,1,1,5,2013
25248,891,131,235.0,2,2,3,2013
25249,891,10,61.0,6,6,0,2013
25250,891,1,65.0,5,5,0,2013
25251,891,5,25.0,7,7,0,2013
25252,891,15,7.0,8,8,0,2013
25253,891,3,1.0,9,9,0,2013
25254,891,206,0.0,10,10,0,2013
25255,891,207,0.0,11,11,0,2013
25288,893,207,0.0,11,11,0,2013
25287,893,206,0.0,10,10,0,2013
25285,893,15,19.0,8,8,0,2013
25284,893,5,31.0,7,7,0,2013
25286,893,3,1.0,9,9,0,2013
25283,893,1,76.0,5,5,0,2013
25282,893,10,62.0,6,6,0,2013
25281,893,131,267.0,3,3,3,2013
25280,893,9,377.0,1,1,7,2013
25279,893,6,274.0,2,2,2,2013
25278,893,208,206.0,4,4,1,2013
25267,892,208,191.0,4,4,1,2013
25268,892,6,248.0,2,2,2,2013
25269,892,9,352.0,1,1,6,2013
25270,892,131,245.0,3,3,3,2013
25271,892,10,61.0,6,6,0,2013
25272,892,1,66.0,5,5,0,2013
25273,892,5,31.0,7,7,0,2013
25274,892,15,17.0,8,8,0,2013
25275,892,3,1.0,9,9,0,2013
25276,892,206,0.0,10,10,0,2013
25277,892,207,0.0,11,11,0,2013
25289,894,208,239.0,4,4,1,2013
25290,894,6,284.0,2,2,2,2013
25291,894,9,402.0,1,1,8,2013
25292,894,131,283.0,3,3,3,2013
25293,894,10,62.0,6,6,0,2013
25294,894,1,81.0,5,5,0,2013
25295,894,5,31.0,8,8,0,2013
25296,894,15,31.0,7,7,0,2013
25297,894,3,1.0,9,9,0,2013
25298,894,206,0.0,10,10,0,2013
25299,894,207,0.0,11,11,0,2013
25300,895,208,264.0,4,4,1,2013
25301,895,6,297.0,2,2,2,2013
25302,895,9,445.0,1,1,9,2013
25303,895,131,287.0,3,3,3,2013
25304,895,10,62.0,6,6,0,2013
25305,895,1,83.0,5,5,0,2013
25306,895,5,31.0,8,8,0,2013
25307,895,15,45.0,7,7,0,2013
25308,895,3,1.0,9,9,0,2013
25309,895,206,0.0,10,10,0,2013
25310,895,207,0.0,11,11,0,2013
25311,896,208,285.0,4,4,1,2013
25312,896,6,309.0,3,3,2,2013
25313,896,9,470.0,1,1,10,2013
25314,896,131,313.0,2,2,3,2013
25315,896,10,68.0,6,6,0,2013
25316,896,1,93.0,5,5,0,2013
25317,896,5,32.0,8,8,0,2013
25318,896,15,45.0,7,7,0,2013
25319,896,3,1.0,9,9,0,2013
25320,896,206,0.0,10,10,0,2013
25321,896,207,0.0,11,11,0,2013
25322,897,208,297.0,4,4,1,2013
25323,897,6,323.0,3,3,2,2013
25324,897,9,513.0,1,1,11,2013
25325,897,131,334.0,2,2,3,2013
25326,897,10,77.0,6,6,0,2013
25327,897,1,95.0,5,5,0,2013
25328,897,5,32.0,8,8,0,2013
25329,897,15,45.0,7,7,0,2013
25330,897,3,1.0,9,9,0,2013
25331,897,206,0.0,10,10,0,2013
25332,897,207,0.0,11,11,0,2013
25333,898,208,315.0,4,4,1,2013
25334,898,6,333.0,3,3,2,2013
25335,898,9,553.0,1,1,12,2013
25336,898,131,348.0,2,2,3,2013
25337,898,10,77.0,6,6,0,2013
25338,898,1,102.0,5,5,0,2013
25339,898,5,32.0,8,8,0,2013
25340,898,15,53.0,7,7,0,2013
25341,898,3,5.0,9,9,0,2013
25342,898,206,0.0,10,10,0,2013
25343,898,207,0.0,11,11,0,2013
25344,899,208,315.0,4,4,1,2013
25345,899,6,354.0,3,3,2,2013
25346,899,9,596.0,1,1,13,2013
25347,899,131,360.0,2,2,3,2013
25348,899,10,77.0,6,6,0,2013
25349,899,1,122.0,5,5,0,2013
25350,899,5,33.0,8,8,0,2013
25351,899,15,57.0,7,7,0,2013
25352,899,3,5.0,9,9,0,2013
25353,899,206,0.0,10,10,0,2013
25354,899,207,0.0,11,11,0,2013
25943,901,1,43.0,2,2,0,2014
25942,901,131,68.0,1,1,2,2014
25941,900,9,0.0,11,11,0,2014
25940,900,207,0.0,10,10,0,2014
25938,900,206,0.0,8,8,0,2014
25939,900,208,0.0,9,9,0,2014
25937,900,15,0.0,7,7,0,2014
25936,900,5,6.0,6,6,0,2014
25935,900,10,9.0,5,5,0,2014
25934,900,3,10.0,4,4,0,2014
25933,900,6,18.0,3,3,0,2014
25932,900,1,33.0,1,1,0,2014
25931,900,131,25.0,2,2,1,2014
25944,901,6,30.0,3,3,0,2014
25945,901,3,20.0,4,4,0,2014
25946,901,10,19.0,5,5,0,2014
25947,901,5,7.0,7,7,0,2014
25948,901,15,0.0,8,8,0,2014
25949,901,206,0.0,11,11,0,2014
25950,901,208,0.0,9,9,0,2014
25951,901,207,0.0,10,10,0,2014
25952,901,9,15.0,6,6,0,2014
25953,902,131,111.0,1,1,3,2014
25954,902,1,43.0,3,3,0,2014
25955,902,6,33.0,5,5,0,2014
25956,902,3,30.0,6,6,0,2014
25957,902,10,44.0,2,2,0,2014
