driverStandingsId,raceId,driverId,points,position,positionText,wins,year
68160,969,830,10.0,5,5,0,2017
68159,969,8,12.0,4,4,0,2017
68158,969,822,15.0,3,3,0,2017
68157,969,1,18.0,2,2,0,2017
68156,969,20,25.0,1,1,1,2017
65515,880,8,25.0,1,1,1,2013
65516,880,4,18.0,2,2,0,2013
65517,880,20,15.0,3,3,0,2013
65518,880,13,12.0,4,4,0,2013
65519,880,1,10.0,5,5,0,2013
65520,880,17,8.0,6,6,0,2013
65521,880,16,6.0,7,7,0,2013
65522,880,814,4.0,8,8,0,2013
65523,880,18,2.0,9,9,0,2013
65524,880,154,1.0,10,10,0,2013
65525,880,815,0.0,11,11,0,2013
65526,880,818,0.0,12,12,0,2013
65527,880,821,0.0,13,13,0,2013
65528,880,822,0.0,14,14,0,2013
65529,880,824,0.0,15,15,0,2013
65530,880,819,0.0,16,16,0,2013
65531,880,820,0.0,17,17,0,2013
65532,880,823,0.0,18,18,0,2013
65533,880,817,0.0,19,19,0,2013
65534,880,3,0.0,20,20,0,2013
65535,880,813,0.0,21,21,0,2013
65536,880,807,0.0,22,22,0,2013
65537,881,8,31.0,2,2,1,2013
65538,881,4,18.0,6,6,0,2013
65539,881,20,40.0,1,1,1,2013
65540,881,13,22.0,5,5,0,2013
65541,881,1,25.0,4,4,0,2013
65542,881,17,26.0,3,3,0,2013
65543,881,16,6.0,9,9,0,2013
65544,881,814,4.0,10,10,0,2013
65545,881,18,2.0,13,13,0,2013
65546,881,154,9.0,8,8,0,2013
65547,881,815,2.0,12,12,0,2013
65548,881,818,1.0,14,14,0,2013
65549,881,821,0.0,16,16,0,2013
65550,881,822,0.0,15,15,0,2013
65551,881,824,0.0,17,17,0,2013
65552,881,819,0.0,18,18,0,2013
65553,881,820,0.0,20,20,0,2013
65554,881,823,0.0,19,19,0,2013
65555,881,817,0.0,21,21,0,2013
65556,881,3,12.0,7,7,0,2013
65557,881,813,0.0,22,22,0,2013
65558,881,807,4.0,11,11,0,2013
65559,882,8,49.0,2,2,1,2013
65560,882,4,43.0,3,3,1,2013
65561,882,20,52.0,1,1,1,2013
65562,882,13,30.0,5,5,0,2013
65563,882,1,40.0,4,4,0,2013
65564,882,17,26.0,6,6,0,2013
65565,882,16,6.0,12,12,0,2013
65566,882,814,8.0,10,10,0,2013
65567,882,18,12.0,8,8,0,2013
65568,882,154,11.0,9,9,0,2013
65569,882,815,2.0,14,14,0,2013
65570,882,818,1.0,15,15,0,2013
65571,882,821,0.0,17,17,0,2013
65572,882,822,0.0,16,16,0,2013
65573,882,824,0.0,18,18,0,2013
65574,882,819,0.0,19,19,0,2013
65575,882,820,0.0,22,22,0,2013
65576,882,823,0.0,21,21,0,2013
65577,882,817,6.0,11,11,0,2013
65578,882,3,12.0,7,7,0,2013
65579,882,813,0.0,20,20,0,2013
65580,882,807,5.0,13,13,0,2013
65581,883,8,67.0,2,2,1,2013
65582,883,4,47.0,4,4,1,2013
65583,883,20,77.0,1,1,2,2013
65584,883,13,30.0,6,6,0,2013
65585,883,1,50.0,3,3,0,2013
65586,883,17,32.0,5,5,0,2013
65587,883,16,6.0,12,12,0,2013
65588,883,814,20.0,8,8,0,2013
65589,883,18,13.0,10,10,0,2013
65590,883,154,26.0,7,7,0,2013
65591,883,815,10.0,11,11,0,2013
65592,883,818,1.0,15,15,0,2013
65593,883,821,0.0,18,18,0,2013
65594,883,822,0.0,16,16,0,2013
65595,883,824,0.0,19,19,0,2013
65596,883,819,0.0,20,20,0,2013
65597,883,820,0.0,22,22,0,2013
65598,883,823,0.0,21,21,0,2013
65599,883,817,6.0,13,13,0,2013
65600,883,3,14.0,9,9,0,2013
65601,883,813,0.0,17,17,0,2013
65602,883,807,5.0,14,14,0,2013
65645,884,813,0.0,18,18,0,2013
65644,884,3,22.0,9,9,0,2013
65643,884,817,7.0,12,12,0,2013
65641,884,820,0.0,22,22,0,2013
65639,884,824,0.0,19,19,0,2013
65638,884,822,0.0,17,17,0,2013
65637,884,821,0.0,16,16,0,2013
65636,884,818,1.0,15,15,0,2013
65633,884,18,17.0,10,10,0,2013
65632,884,814,26.0,8,8,0,2013
65631,884,16,6.0,13,13,0,2013
65630,884,17,42.0,6,6,0,2013
65629,884,1,50.0,4,4,0,2013
65627,884,20,89.0,1,1,2,2013
65626,884,4,72.0,3,3,2,2013
65625,884,8,85.0,2,2,1,2013
65646,884,807,5.0,14,14,0,2013
65642,884,823,0.0,21,21,0,2013
65640,884,819,0.0,20,20,0,2013
65635,884,815,12.0,11,11,0,2013
65634,884,154,26.0,7,7,0,2013
65628,884,13,45.0,5,5,0,2013
65647,885,8,86.0,2,2,1,2013
65648,885,4,78.0,3,3,2,2013
65649,885,20,107.0,1,1,2,2013
65650,885,13,45.0,7,7,0,2013
65651,885,1,62.0,4,4,0,2013
65652,885,17,57.0,5,5,0,2013
65653,885,16,16.0,11,11,0,2013
65654,885,814,28.0,8,8,0,2013
65655,885,18,25.0,10,10,0,2013
65656,885,154,26.0,9,9,0,2013
65657,885,815,12.0,12,12,0,2013
65658,885,818,5.0,15,15,0,2013
65659,885,821,0.0,16,16,0,2013
65660,885,822,0.0,17,17,0,2013
65661,885,824,0.0,19,19,0,2013
65662,885,819,0.0,20,20,0,2013
65663,885,820,0.0,21,21,0,2013
65664,885,823,0.0,22,22,0,2013
65665,885,817,7.0,13,13,0,2013
65666,885,3,47.0,6,6,1,2013
65667,885,813,0.0,18,18,0,2013
65668,885,807,5.0,14,14,0,2013
65669,886,8,88.0,3,3,1,2013
65670,886,4,96.0,2,2,2,2013
