qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,year
5442,880,20,9,1,1,1:44.657,1:36.745,1:27.407,2013
5443,880,17,9,2,2,1:44.472,1:36.524,1:27.827,2013
5444,880,1,131,10,3,1:45.456,1:36.625,1:28.087,2013
5445,880,13,6,4,4,1:44.635,1:36.666,1:28.490,2013
5446,880,4,6,3,5,1:43.850,1:36.691,1:28.493,2013
5447,880,3,131,9,6,1:43.380,1:36.194,1:28.523,2013
5448,880,8,208,7,7,1:45.545,1:37.517,1:28.738,2013
5449,880,154,208,8,8,1:44.284,1:37.641,1:29.013,2013
5450,880,814,10,14,9,1:45.601,1:36.901,1:29.305,2013
5451,880,18,1,5,10,1:44.688,1:36.644,1:30.357,2013
5452,880,807,15,11,11,1:45.930,1:38.067,\N,2013
5453,880,16,10,15,12,1:47.330,1:38.134,\N,2013
5454,880,818,5,18,13,1:44.871,1:38.778,\N,2013
5455,880,817,5,19,14,1:46.450,1:39.042,\N,2013
5456,880,815,1,6,15,1:44.400,1:39.900,\N,2013
5457,880,822,3,17,16,1:47.328,1:40.290,\N,2013
5458,880,813,3,16,17,1:47.614,\N,\N,2013
5459,880,821,15,12,18,1:47.776,\N,\N,2013
5460,880,824,206,22,19,1:48.147,\N,\N,2013
5461,880,820,206,23,20,1:48.909,\N,\N,2013
5462,880,823,207,21,21,1:49.519,\N,\N,2013
5463,880,819,207,20,22,1:50.626,\N,\N,2013
5464,881,20,9,1,1,1:37.899,1:37.245,1:49.674,2013
5465,881,13,6,4,2,1:37.712,1:36.874,1:50.587,2013
5466,881,4,6,3,3,1:37.314,1:36.877,1:50.727,2013
5467,881,1,131,10,4,1:37.513,1:36.517,1:51.699,2013
5468,881,17,9,2,5,1:37.619,1:36.449,1:52.244,2013
5469,881,3,131,9,6,1:37.239,1:36.190,1:52.519,2013
5470,881,8,208,7,7,1:36.959,1:36.640,1:52.970,2013
5471,881,18,1,5,8,1:37.487,1:37.117,1:53.175,2013
5472,881,16,10,15,9,1:36.809,1:36.834,1:53.439,2013
5473,881,815,1,6,10,1:37.702,1:37.342,1:54.136,2013
5474,881,154,208,8,11,1:37.363,1:37.636,\N,2013
5475,881,807,15,11,12,1:37.931,1:38.125,\N,2013
5476,881,817,5,19,13,1:37.722,1:38.822,\N,2013
5477,881,821,15,12,14,1:37.707,1:39.221,\N,2013
5478,881,814,10,14,15,1:37.493,1:44.509,\N,2013
5479,881,813,3,16,16,1:37.867,\N,\N,2013
5480,881,818,5,18,17,1:38.157,\N,\N,2013
5481,881,822,3,17,18,1:38.207,\N,\N,2013
5482,881,824,206,22,19,1:38.434,\N,\N,2013
5483,881,819,207,20,20,1:39.314,\N,\N,2013
5484,881,820,206,23,21,1:39.672,\N,\N,2013
5485,881,823,207,21,22,1:39.932,\N,\N,2013
5486,882,1,131,10,1,1:35.793,1:35.078,1:34.484,2013
5487,882,8,208,7,2,1:37.046,1:35.659,1:34.761,2013
5488,882,4,6,3,3,1:36.253,1:35.148,1:34.788,2013
5489,882,3,131,9,4,1:35.959,1:35.537,1:34.861,2013
5490,882,13,6,4,5,1:35.972,1:35.403,1:34.933,2013
5491,882,154,208,8,6,1:36.929,1:36.065,1:35.364,2013
5492,882,817,5,19,7,1:36.993,1:36.258,1:35.998,2013
5493,882,18,1,5,8,1:36.667,1:35.784,2:05.673,2013
5494,882,20,9,1,9,1:36.537,1:35.343,\N,2013
5495,882,807,15,11,10,1:36.985,1:36.261,\N,2013
5496,882,814,10,14,11,1:37.478,1:36.287,\N,2013
5497,882,815,1,6,12,1:36.952,1:36.314,\N,2013
5498,882,16,10,15,13,1:37.349,1:36.405,\N,2013
5499,882,17,9,2,14,1:36.148,1:36.679,\N,2013
5500,882,813,3,16,15,1:37.281,1:37.139,\N,2013
5501,882,818,5,18,16,1:37.508,1:37.199,\N,2013
5502,882,822,3,17,17,1:37.769,\N,\N,2013
5503,882,821,15,12,18,1:37.990,\N,\N,2013
5504,882,824,206,22,19,1:38.780,\N,\N,2013
5505,882,820,206,23,20,1:39.537,\N,\N,2013
5506,882,819,207,20,21,1:39.614,\N,\N,2013
5507,882,823,207,21,22,1:39.660,\N,\N,2013
5508,883,3,131,9,1,1:33.364,1:32.867,1:32.330,2013
5509,883,20,9,1,2,1:33.327,1:32.746,1:32.584,2013
5510,883,4,6,3,3,1:32.878,1:33.316,1:32.667,2013
5511,883,1,131,10,4,1:33.498,1:33.346,1:32.762,2013
5512,883,17,9,2,5,1:33.966,1:33.098,1:33.078,2013
5513,883,13,6,4,6,1:33.780,1:33.358,1:33.207,2013
5514,883,814,10,14,7,1:33.762,1:33.335,1:33.235,2013
5515,883,16,10,15,8,1:34.048,1:33.378,1:33.246,2013
5516,883,8,208,7,9,1:33.827,1:33.146,1:33.327,2013
5517,883,18,1,5,10,1:34.071,1:33.702,\N,2013
5518,883,154,208,8,11,1:33.498,1:33.762,\N,2013
5519,883,815,1,6,12,1:34.310,1:33.914,\N,2013
5520,883,817,5,19,13,1:34.120,1:33.974,\N,2013
5521,883,807,15,11,14,1:34.409,1:33.976,\N,2013
5522,883,822,3,17,15,1:34.425,1:34.105,\N,2013
5523,883,818,5,18,16,1:34.314,1:34.284,\N,2013
5524,883,813,3,16,17,1:34.425,\N,\N,2013
5525,883,821,15,12,18,1:34.730,\N,\N,2013
5526,883,819,207,20,19,1:35.283,\N,\N,2013
5527,883,824,206,22,20,1:36.178,\N,\N,2013
5528,883,823,207,21,21,1:36.304,\N,\N,2013
5529,883,820,206,23,22,1:36.476,\N,\N,2013
5530,884,3,131,9,1,1:21.913,1:21.776,1:20.718,2013
5531,884,1,131,10,2,1:21.728,1:21.001,1:20.972,2013
5532,884,20,9,1,3,1:22.158,1:21.602,1:21.054,2013
5533,884,8,208,7,4,1:22.210,1:21.676,1:21.177,2013
5534,884,4,6,3,5,1:22.264,1:21.646,1:21.218,2013
5535,884,13,6,4,6,1:22.492,1:21.978,1:21.219,2013
5536,884,154,208,8,7,1:22.613,1:21.998,1:21.308,2013
5537,884,17,9,2,8,1:22.342,1:21.718,1:21.570,2013
5538,884,815,1,6,9,1:23.116,1:21.790,1:22.069,2013
5539,884,814,10,14,10,1:22.663,1:22.019,1:22.233,2013
5540,884,817,5,19,11,1:22.905,1:22.127,\N,2013
5541,884,818,5,18,12,1:22.775,1:22.166,\N,2013
5542,884,16,10,15,13,1:22.952,1:22.346,\N,2013
5543,884,18,1,5,14,1:23.166,1:22.355,\N,2013
5544,884,807,15,11,15,1:23.058,1:22.389,\N,2013
5545,884,821,15,12,16,1:23.218,1:22.793,\N,2013
5546,884,822,3,17,17,1:23.260,\N,\N,2013
5547,884,813,3,16,18,1:23.318,\N,\N,2013
5548,884,823,207,21,19,1:24.661,\N,\N,2013
5549,884,824,206,22,20,1:24.713,\N,\N,2013
5550,884,820,206,23,21,1:24.996,\N,\N,2013
5551,884,819,207,20,22,1:25.070,\N,\N,2013
5552,885,3,131,9,1,1:24.620,1:16.135,1:13.876,2013
5553,885,1,131,10,2,1:23.779,1:16.265,1:13.967,2013
5554,885,20,9,1,3,1:24.243,1:15.988,1:13.980,2013
5555,885,17,9,2,4,1:25.352,1:17.322,1:14.181,2013
5556,885,8,208,7,5,1:25.835,1:16.040,1:14.822,2013
5557,885,4,6,3,6,1:23.712,1:16.510,1:14.824,2013
5558,885,815,1,6,7,1:24.682,1:17.748,1:15.138,2013
5559,885,16,10,15,8,1:25.108,1:17.261,1:15.383,2013
5560,885,18,1,5,9,1:23.744,1:17.420,1:15.647,2013
5561,885,818,5,18,10,1:23.699,1:17.623,1:15.703,2013
5562,885,807,15,11,11,1:25.547,1:18.331,\N,2013
5563,885,817,5,19,12,1:24.852,1:18.344,\N,2013
5564,885,154,208,8,13,1:23.738,1:18.603,\N,2013
5565,885,822,3,17,14,1:24.681,1:19.077,\N,2013
5566,885,823,207,21,15,1:26.095,1:19.408,\N,2013
5567,885,813,3,16,16,1:23.452,1:21.688,\N,2013
5568,885,814,10,14,17,1:26.322,\N,\N,2013
5569,885,819,207,20,18,1:26.633,\N,\N,2013
5570,885,821,15,12,19,1:26.917,\N,\N,2013
5571,885,820,206,23,20,1:27.303,\N,\N,2013
5572,885,824,206,22,21,\N,\N,\N,2013
5573,885,13,6,4,22,\N,\N,\N,2013
5574,886,20,9,1,1,1:22.318,1:28.166,1:25.425,2013
5575,886,1,131,10,2,1:23.801,1:27.649,1:25.512,2013
5576,886,822,3,17,3,1:23.446,1:28.419,1:25.897,2013
5577,886,3,131,9,4,1:23.840,1:28.420,1:26.008,2013
5578,886,17,9,2,5,1:23.247,1:28.145,1:26.208,2013
5579,886,4,6,3,6,1:23.224,1:28.788,1:26.504,2013
5580,886,818,5,18,7,1:24.159,1:28.527,1:26.543,2013
5581,886,16,10,15,8,1:24.551,1:28.799,1:27.348,2013
5582,886,8,208,7,9,1:24.451,1:28.667,1:27.432,2013
5583,886,817,5,19,10,1:24.770,1:29.359,1:27.946,2013
5584,886,807,15,11,11,1:23.899,1:29.435,\N,2013
5585,886,815,1,6,12,1:24.176,1:29.761,\N,2013
5586,886,813,3,16,13,1:24.776,1:29.917,\N,2013
5587,886,18,1,5,14,1:24.021,1:30.068,\N,2013
5588,886,821,15,12,15,1:24.408,1:30.315,\N,2013
5589,886,13,6,4,16,1:23.735,1:30.354,\N,2013
5590,886,814,10,14,17,1:24.908,\N,\N,2013
5591,886,819,207,20,18,1:25.626,\N,\N,2013
5592,886,154,208,8,19,1:25.716,\N,\N,2013
5593,886,824,206,22,20,1:26.508,\N,\N,2013
5594,886,820,206,23,21,1:27.062,\N,\N,2013
5595,886,823,207,21,22,1:27.110,\N,\N,2013
5596,887,1,131,10,1,1:30.995,1:31.224,1:29.607,2013
5597,887,3,131,9,2,1:31.355,1:31.028,1:30.059,2013
5598,887,20,9,1,3,1:31.559,1:30.990,1:30.211,2013
5599,887,17,9,2,4,1:31.605,1:31.002,1:30.220,2013
5600,887,814,10,14,5,1:32.062,1:31.291,1:30.736,2013
5601,887,817,5,19,6,1:32.097,1:31.182,1:30.757,2013
5602,887,16,10,15,7,1:32.002,1:31.097,1:30.908,2013
5603,887,154,208,8,8,1:31.466,1:31.530,1:30.955,2013
5604,887,8,208,7,9,1:31.400,1:31.592,1:30.962,2013
5605,887,4,6,3,10,1:32.266,1:31.387,1:30.979,2013
5606,887,18,1,5,11,1:31.979,1:31.649,\N,2013
5607,887,13,6,4,12,1:32.241,1:31.779,\N,2013
5608,887,818,5,18,13,1:32.105,1:31.785,\N,2013
5609,887,815,1,6,14,1:31.953,1:32.082,\N,2013
5610,887,807,15,11,15,1:32.168,1:32.211,\N,2013
5611,887,813,3,16,16,1:32.512,1:32.359,\N,2013
5612,887,822,3,17,17,1:32.664,\N,\N,2013
5613,887,821,15,12,18,1:32.666,\N,\N,2013
5614,887,819,207,20,19,1:33.866,\N,\N,2013
5615,887,824,206,22,20,1:34.108,\N,\N,2013
5616,887,823,207,21,21,1:35.481,\N,\N,2013
5617,887,820,206,23,22,1:35.858,\N,\N,2013
5618,888,1,131,10,1,1:31.131,1:30.152,1:29.398,2013
5619,888,20,9,1,2,1:31.269,1:29.992,1:29.501,2013
5620,888,17,9,2,3,1:31.428,1:30.217,1:29.608,2013
5621,888,8,208,7,4,1:30.676,1:29.852,1:29.892,2013
5622,888,154,208,8,5,1:31.242,1:30.005,1:29.959,2013
5623,888,817,5,19,6,1:31.081,1:30.223,1:30.528,2013
5624,888,13,6,4,7,1:30.547,1:29.825,1:31.126,2013
5625,888,4,6,3,8,1:30.709,1:29.962,1:31.209,2013
5626,888,18,1,5,9,1:31.181,1:30.269,\N,2013
5627,888,807,15,11,10,1:31.132,1:30.231,\N,2013
5628,888,3,131,9,11,1:31.322,1:30.326,\N,2013
5629,888,814,10,14,12,1:31.322,1:30.697,\N,2013
5630,888,815,1,6,13,1:31.498,1:30.933,\N,2013
5631,888,821,15,12,14,1:31.681,1:31.010,\N,2013
5632,888,16,10,15,15,1:31.320,1:31.010,\N,2013
5633,888,818,5,18,16,1:31.629,1:31.104,\N,2013
5634,888,822,3,17,17,1:31.693,\N,\N,2013
5635,888,813,3,16,18,1:31.707,\N,\N,2013
5636,888,819,207,20,19,1:32.937,\N,\N,2013
5637,888,824,206,22,20,1:33.063,\N,\N,2013
5638,888,823,207,21,21,1:33.734,\N,\N,2013
5639,888,820,206,23,22,1:34.098,\N,\N,2013
5640,890,1,131,10,1,1:20.363,1:19.862,1:19.388,2013
5641,890,20,9,1,2,1:20.646,1:19.992,1:19.426,2013
5642,890,154,208,8,3,1:20.447,1:20.101,1:19.595,2013
5643,890,3,131,9,4,1:20.350,1:19.778,1:19.720,2013
5644,890,4,6,3,5,1:20.652,1:20.183,1:19.791,2013
5645,890,8,208,7,6,1:20.867,1:20.243,1:19.851,2013
5646,890,13,6,4,7,1:21.004,1:20.460,1:19.929,2013
5647,890,817,5,19,8,1:21.181,1:20.527,1:20.641,2013
5648,890,815,1,6,9,1:21.612,1:20.545,1:22.398,2013
5649,890,17,9,2,10,1:21.264,1:20.503,\N,2013
5650,890,16,10,15,11,1:21.471,1:20.569,\N,2013
5651,890,807,15,11,12,1:21.028,1:20.580,\N,2013
5652,890,18,1,5,13,1:21.131,1:20.777,\N,2013
5653,890,818,5,18,14,1:21.345,1:21.029,\N,2013
5654,890,813,3,16,15,1:20.816,1:21.133,\N,2013
5655,890,822,3,17,16,1:21.135,1:21.219,\N,2013
5656,890,821,15,12,17,1:21.724,\N,\N,2013
5657,890,814,10,14,18,1:22.043,\N,\N,2013
5658,890,819,207,20,19,1:23.007,\N,\N,2013
5659,890,823,207,21,20,1:23.333,\N,\N,2013
5660,890,824,206,22,21,1:23.787,\N,\N,2013
5661,890,820,206,23,22,1:23.997,\N,\N,2013
5662,891,1,131,10,1,2:00.368,1:49.067,2:01.012,2013
5663,891,20,9,1,2,2:01.863,1:48.646,2:01.200,2013
5664,891,17,9,2,3,2:01.597,1:48.641,2:01.325,2013
