resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,year
21712,880,8,208,7,7,1,1,1,25.0,58,1:30:03.225,5403225,56,1,1:29.274,213.845,1,2013
21713,880,4,6,3,5,2,2,2,18.0,58,+12.451,5415676,53,3,1:29.560,213.162,1,2013
21714,880,20,9,1,1,3,3,3,15.0,58,+22.346,5425571,42,10,1:30.409,211.160,1,2013
21715,880,13,6,4,4,4,4,4,12.0,58,+33.577,5436802,38,8,1:30.239,211.558,1,2013
21716,880,1,131,10,3,5,5,5,10.0,58,+45.561,5448786,45,5,1:29.759,212.689,1,2013
21717,880,17,9,2,2,6,6,6,8.0,58,+46.800,5450025,45,4,1:29.732,212.753,1,2013
21718,880,16,10,15,12,7,7,7,6.0,58,+1:05.068,5468293,49,13,1:30.710,210.459,1,2013
21719,880,814,10,14,9,8,8,8,4.0,58,+1:08.449,5471674,56,15,1:30.894,210.033,1,2013
21720,880,18,1,5,10,9,9,9,2.0,58,+1:21.630,5484855,41,7,1:30.198,211.654,1,2013
21721,880,154,208,8,8,10,10,10,1.0,58,+1:22.759,5485984,41,9,1:30.395,211.193,1,2013
21722,880,815,1,6,15,11,11,11,0.0,58,+1:23.367,5486592,46,6,1:29.926,212.294,1,2013
21723,880,818,5,18,13,12,12,12,0.0,58,+1:23.857,5487082,50,2,1:29.498,213.309,1,2013
21724,880,821,15,12,18,13,13,13,0.0,57,\N,\N,32,16,1:31.415,208.836,11,2013
21725,880,822,3,17,16,14,14,14,0.0,57,\N,\N,42,12,1:30.652,210.594,11,2013
21726,880,824,206,22,19,15,15,15,0.0,57,\N,\N,52,11,1:30.454,211.055,11,2013
21727,880,819,207,20,22,16,16,16,0.0,56,\N,\N,55,19,1:32.261,206.921,12,2013
21728,880,820,206,23,20,17,17,17,0.0,56,\N,\N,49,17,1:32.210,207.036,12,2013
21729,880,823,207,21,21,18,18,18,0.0,56,\N,\N,39,20,1:32.636,206.084,12,2013
21730,880,817,5,19,14,\N,R,19,0.0,39,\N,\N,33,14,1:30.881,210.063,9,2013
21731,880,3,131,9,6,\N,R,20,0.0,26,\N,\N,18,18,1:32.259,206.926,10,2013
21732,880,813,3,16,17,\N,R,21,0.0,24,\N,\N,12,21,1:32.915,205.465,20,2013
21733,880,807,15,11,11,\N,W,22,0.0,0,\N,\N,\N,0,\N,\N,69,2013
21734,881,20,9,1,1,1,1,1,25.0,56,1:38:56.681,5936681,45,3,1:40.446,198.661,1,2013
21735,881,17,9,2,5,2,2,2,18.0,56,+4.298,5940979,45,6,1:40.685,198.190,1,2013
21736,881,1,131,10,4,3,3,3,15.0,56,+12.181,5948862,32,10,1:41.001,197.570,1,2013
21737,881,3,131,9,6,4,4,4,12.0,56,+12.640,5949321,44,8,1:40.755,198.052,1,2013
21738,881,13,6,4,2,5,5,5,10.0,56,+25.648,5962329,50,2,1:39.805,199.937,1,2013
21739,881,154,208,8,11,6,6,6,8.0,56,+35.564,5972245,37,11,1:41.226,197.131,1,2013
21740,881,8,208,7,10,7,7,7,6.0,56,+48.479,5985160,37,13,1:41.769,196.079,1,2013
21741,881,807,15,11,12,8,8,8,4.0,56,+53.044,5989725,46,7,1:40.727,198.107,1,2013
21742,881,815,1,6,9,9,9,9,2.0,56,+1:12.357,6009038,56,1,1:39.199,201.159,1,2013
21743,881,818,5,18,17,10,10,10,1.0,56,+1:27.124,6023805,45,4,1:40.492,198.571,1,2013
21744,881,822,3,17,18,11,11,11,0.0,56,+1:28.610,6025291,54,12,1:41.373,196.845,1,2013
21745,881,821,15,12,14,12,12,12,0.0,55,\N,\N,54,9,1:40.929,197.711,11,2013
21746,881,824,206,22,19,13,13,13,0.0,55,\N,\N,47,14,1:42.423,194.827,11,2013
21747,881,819,207,20,20,14,14,14,0.0,55,\N,\N,51,17,1:42.942,193.845,11,2013
21748,881,823,207,21,22,15,15,15,0.0,55,\N,\N,44,20,1:43.157,193.441,11,2013
21749,881,820,206,23,21,16,16,16,0.0,54,\N,\N,44,19,1:43.150,193.454,12,2013
21750,881,18,1,5,7,17,17,17,0.0,53,\N,\N,43,5,1:40.556,198.444,54,2013
21751,881,817,5,19,13,18,18,18,0.0,51,\N,\N,35,15,1:42.581,194.527,31,2013
21752,881,813,3,16,16,\N,R,19,0.0,45,\N,\N,34,21,1:43.465,192.865,31,2013
21753,881,16,10,15,8,\N,R,20,0.0,27,\N,\N,24,16,1:42.791,194.129,61,2013
21754,881,814,10,14,15,\N,R,21,0.0,22,\N,\N,19,18,1:43.094,193.559,61,2013
21755,881,4,6,3,3,\N,R,22,0.0,1,\N,\N,\N,0,\N,\N,4,2013
21756,882,4,6,3,3,1,1,1,25.0,56,1:36:26.945,5786945,46,4,1:39.506,197.210,1,2013
21757,882,8,208,7,2,2,2,2,18.0,56,+10.168,5797113,51,5,1:39.955,196.324,1,2013
21758,882,1,131,10,1,3,3,3,15.0,56,+12.322,5799267,50,6,1:39.981,196.273,1,2013
21759,882,20,9,1,9,4,4,4,12.0,56,+12.525,5799470,53,1,1:36.808,202.706,1,2013
21760,882,18,1,5,8,5,5,5,10.0,56,+35.285,5822230,56,2,1:38.058,200.122,1,2013
21761,882,13,6,4,5,6,6,6,8.0,56,+40.827,5827772,55,10,1:40.284,195.680,1,2013
21762,882,817,5,19,7,7,7,7,6.0,56,+42.691,5829636,55,9,1:40.240,195.766,1,2013
21763,882,814,10,14,11,8,8,8,4.0,56,+51.084,5838029,55,7,1:40.101,196.038,1,2013
21764,882,154,208,8,6,9,9,9,2.0,56,+53.423,5840368,55,11,1:40.563,195.137,1,2013
21765,882,807,15,11,10,10,10,10,1.0,56,+56.598,5843543,31,12,1:40.630,195.007,1,2013
21766,882,815,1,6,12,11,11,11,0.0,56,+1:03.860,5850805,55,14,1:41.281,193.754,1,2013
21767,882,818,5,18,15,12,12,12,0.0,56,+1:12.604,5859549,56,8,1:40.138,195.965,1,2013
21768,882,822,3,17,16,13,13,13,0.0,56,+1:33.861,5880806,53,3,1:38.200,199.832,1,2013
21769,882,813,3,16,14,14,14,14,0.0,56,+1:35.453,5882398,54,13,1:40.968,194.354,1,2013
21770,882,824,206,22,18,15,15,15,0.0,55,\N,\N,35,15,1:41.537,193.265,11,2013
21771,882,819,207,20,20,16,16,16,0.0,55,\N,\N,48,17,1:41.997,192.393,11,2013
21772,882,820,206,23,19,17,17,17,0.0,55,\N,\N,39,16,1:41.978,192.429,11,2013
21773,882,823,207,21,21,18,18,18,0.0,55,\N,\N,42,18,1:42.357,191.717,11,2013
21774,882,3,131,9,4,\N,R,19,0.0,21,\N,\N,7,19,1:43.378,189.823,22,2013
21775,882,17,9,2,22,\N,R,20,0.0,15,\N,\N,12,20,1:43.416,189.754,36,2013
21776,882,16,10,15,13,\N,R,21,0.0,5,\N,\N,3,21,1:44.257,188.223,4,2013
21777,882,821,15,12,17,\N,R,22,0.0,4,\N,\N,2,22,1:44.775,187.292,4,2013
21778,883,20,9,1,2,1,1,1,25.0,57,1:36:00.498,5760498,55,1,1:36.961,200.938,1,2013
21779,883,8,208,7,8,2,2,2,18.0,57,+9.111,5769609,57,8,1:38.164,198.476,1,2013
21780,883,154,208,8,11,3,3,3,15.0,57,+19.507,5780005,52,5,1:37.627,199.567,1,2013
21781,883,814,10,14,5,4,4,4,12.0,57,+21.727,5782225,57,12,1:38.336,198.128,1,2013
21782,883,1,131,10,9,5,5,5,10.0,57,+35.230,5795728,48,11,1:38.204,198.395,1,2013
21783,883,815,1,6,12,6,6,6,8.0,57,+35.998,5796496,41,7,1:37.913,198.984,1,2013
21784,883,17,9,2,7,7,7,7,6.0,57,+37.244,5797742,52,13,1:38.557,197.684,1,2013
21785,883,4,6,3,3,8,8,8,4.0,57,+37.574,5798072,41,3,1:37.204,200.436,1,2013
21786,883,3,131,9,1,9,9,9,2.0,57,+41.126,5801624,48,4,1:37.588,199.647,1,2013
21787,883,18,1,5,10,10,10,10,1.0,57,+46.631,5807129,49,6,1:37.743,199.330,1,2013
21788,883,813,3,16,17,11,11,11,0.0,57,+1:06.450,5826948,57,17,1:38.962,196.875,1,2013
21789,883,807,15,11,14,12,12,12,0.0,57,+1:12.933,5833431,43,15,1:38.770,197.258,1,2013
21790,883,16,10,15,6,13,13,13,0.0,57,+1:16.719,5837217,44,2,1:37.070,200.712,1,2013
21791,883,822,3,17,15,14,14,14,0.0,57,+1:21.511,5842009,57,9,1:38.192,198.419,1,2013
21792,883,13,6,4,4,15,15,15,0.0,57,+1:26.364,5846862,42,16,1:38.839,197.120,1,2013
21793,883,817,5,19,13,16,16,16,0.0,56,\N,\N,51,21,1:39.579,195.655,11,2013
21794,883,819,207,20,18,17,17,17,0.0,56,\N,\N,37,20,1:39.546,195.720,11,2013
21795,883,821,15,12,22,18,18,18,0.0,56,\N,\N,45,10,1:38.202,198.399,11,2013
21796,883,824,206,22,19,19,19,19,0.0,56,\N,\N,50,14,1:38.756,197.286,11,2013
21797,883,820,206,23,21,20,20,20,0.0,56,\N,\N,50,18,1:39.279,196.246,11,2013
21798,883,823,207,21,20,21,21,21,0.0,55,\N,\N,49,19,1:39.334,196.138,12,2013
21799,883,818,5,18,16,\N,R,22,0.0,16,\N,\N,4,22,1:43.107,188.960,29,2013
21800,884,4,6,3,5,1,1,1,25.0,66,1:39:16.596,5956596,53,5,1:26.681,193.329,1,2013
21801,884,8,208,7,4,2,2,2,18.0,66,+9.338,5965934,47,6,1:26.757,193.160,1,2013
21802,884,13,6,4,9,3,3,3,15.0,66,+26.049,5982645,56,2,1:26.394,193.971,1,2013
21803,884,20,9,1,3,4,4,4,12.0,66,+38.273,5994869,55,9,1:27.036,192.541,1,2013
21804,884,17,9,2,7,5,5,5,10.0,66,+47.963,6004559,55,8,1:27.017,192.583,1,2013
21805,884,3,131,9,1,6,6,6,8.0,66,+1:08.020,6024616,56,11,1:27.591,191.321,1,2013
21806,884,814,10,14,10,7,7,7,6.0,66,+1:08.988,6025584,55,7,1:26.776,193.117,1,2013
21807,884,18,1,5,14,8,8,8,4.0,66,+1:19.506,6036102,55,14,1:27.957,190.524,1,2013
21808,884,815,1,6,8,9,9,9,2.0,66,+1:21.738,6038334,55,10,1:27.251,192.066,1,2013
21809,884,817,5,19,11,10,10,10,1.0,65,\N,\N,55,16,1:28.083,190.252,11,2013
21810,884,821,15,12,19,11,11,11,0.0,65,\N,\N,56,1,1:26.217,194.370,11,2013
21811,884,1,131,10,2,12,12,12,0.0,65,\N,\N,53,13,1:27.895,190.659,11,2013
21812,884,16,10,15,13,13,13,13,0.0,65,\N,\N,38,3,1:26.564,193.590,11,2013
21813,884,813,3,16,17,14,14,14,0.0,65,\N,\N,56,12,1:27.849,190.759,11,2013
